# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 534.791999999999803                1354.478335585081595                  52.416666666666671                5095.366666666661331               26739.599999999991269
  1                 343.622999999999877                 676.791797041912673                  62.750000000000000                2685.233333333334485               17181.149999999994179
  2                 326.933333333333337                 422.851255802005596                 262.000000000000000                2663.400000000000091               16346.666666666667879
  3                 344.385333333333108                 780.609647395617912                  77.833333333333343                4903.600000000000364               17219.266666666655510
  4                 484.108999999999696                 996.190371248888937                  78.166666666666657                4450.366666666661331               24205.449999999986176
  5                 408.626666666666551                1236.907686198843521                  61.000000000000000                7984.199999999997090               20431.333333333328483
  6                 973.215999999999894                1764.093365345244365                  88.000000000000000                7021.133333333333212               48660.799999999995634
  7                 524.544999999999845                1106.923728855234685                  76.749999999999972                4558.949999999999818               26227.249999999992724
  8                 516.702666666666232                 887.358893717505111                  68.666666666666671                5065.800000000002001               25835.133333333309565
  9                1459.934666666664498                1822.526308055322261                1069.733333333334485                9681.199999999978900               72996.733333333220799
 10                1205.221999999999298                2007.036200909301670                 185.666666666666714                9144.000000000000000               60261.099999999962165
 11                 429.321333333333143                 674.462981465336156                 104.933333333333309                2739.599999999995816               21466.066666666658421
 12                 795.750666666666461                1425.496666152069793                 125.066666666666663                6526.199999999997999               39787.533333333325572
 13                 954.429666666665980                1118.249607960235380                 962.700000000000273                5775.099999999993997               47721.483333333300834
 14                1228.074666666667099                 734.697460533094500                1540.400000000001000                2300.799999999999272               61403.733333333351766
 15                 902.811999999999784                1035.769363919293028                 675.400000000000432                5336.399999999999636               45140.599999999991269
 16                1697.665333333332455                1967.312580687561649                1157.066666666666606                9053.399999999995998               84883.266666666619130
 17                2084.599999999999000                1381.996422892942064                2112.999999999999091                7491.599999999998545              104229.999999999956344
 18                 877.462999999999738                1935.532932832969891                 131.333333333333314                9213.199999999997090               43873.149999999986903
 19                1822.201333333330695                2852.801256605001527                 882.466666666667152               10895.999999999970896               91110.066666666534729
 20                1949.199999999998909                2084.904159758374590                1339.466666666664878                7122.799999999989268               97459.999999999941792
 21                1408.598666666666304                1423.604631442623713                1305.333333333333485                6338.799999999997453               70429.933333333319752
 22                1257.079333333332670                1499.339256737817323                 589.200000000000159                5469.999999999994543               62853.966666666638048
 23                1525.903999999999542                1755.561397776157719                1163.000000000000455                6014.399999999997817               76295.199999999982538
 24                1320.393333333333203                1091.476021602550190                1181.866666666665878                4347.333333333333030               66019.666666666656965
 25                1246.174999999999955                 946.449564033040360                1145.816666666667061                3105.549999999997908               62308.749999999992724
 26                1958.184999999998354                1702.164122075350406                1509.216666666666924                5222.599999999990359               97909.249999999912689
 27                1897.147999999998092                1044.714953769367412                1917.999999999999773                4745.999999999998181               94857.399999999906868
 28                2363.241333333330203                1994.045181401193759                2197.049999999999727               10637.699999999973443              118162.066666666520177
 29                2192.103999999999360                1829.312750377885095                1942.600000000000364                7662.733333333308110              109605.199999999967986
 30                2088.235999999998512                1711.923135928193233                1409.733333333331984                8772.599999999998545              104411.799999999930151
 31                1877.253333333332193                 627.788616087363835                2014.799999999999727                3053.999999999989996               93862.666666666613310
 32                1515.061333333332641                 498.183578807829861                1710.400000000000091                2176.999999999991360               75753.066666666636593
 33                1375.773333333333085                 673.452018978832939                1683.799999999999955                2391.600000000001273               68788.666666666656965
 34                1745.152666666665255                1180.631283905916462                2037.499999999998636                6114.899999999997817               87257.633333333258634
 35                1929.150333333331446                 837.065487996209413                1988.649999999998499                3370.499999999998636               96457.516666666575475
 36                2293.126333333330876                1690.833354007191929                2044.549999999999955                9253.049999999984720              114656.316666666534729
 37                1723.373333333333449                 553.729056408555948                1722.000000000000227                3461.199999999989814               86168.666666666671517
 38                1643.518666666665467                1450.697571134658801                1532.799999999998590                5724.799999999999272               82175.933333333276096
 39                1883.421999999999798                1317.304559581334615                1590.500000000000909                5487.133333333321389               94171.099999999991269
 40                2201.403333333331375                1776.266002821022312                1927.699999999998909               10156.799999999991996              110070.166666666569654
 41                2658.180666666664820                1704.678048196784175                2081.399999999999636                7318.299999999988358              132909.033333333238261
 42                1980.523333333332175                1767.361667536606092                1705.199999999999818                7228.999999999998181               99026.166666666613310
 43                1502.952333333332717                1113.796466779824641                1418.133333333333439                4426.549999999995634               75147.616666666639503
 44                1966.181999999999562                 896.053082373781422                2073.000000000000000                4528.350000000000364               98309.099999999976717
 45                 981.802666666666369                 705.323477682875705                 778.066666666665697                2734.733333333333576               49090.133333333316841
 46                1674.438333333332821                1297.335759629668473                1247.933333333331575                5004.850000000000364               83721.916666666642413
 47                1745.962999999998829                 683.174606348023531                2080.300000000000182                2596.199999999996635               87298.149999999935972
 48                1783.881333333333259                1503.645443553173891                1560.066666666665242                7790.399999999995998               89194.066666666665697
 49                1786.239999999996826                1140.794848048205495                1797.933333333328619                5724.199999999998909               89311.999999999839929
