# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 329.082666666666910                 663.104973162537590                 151.666666666666657                4087.400000000003274               16454.133333333345945
  1                 586.423111111111666                 805.277859518880518                 218.177777777777749                3389.600000000003092               29321.155555555582396
  2                 572.830666666667071                 722.100292352185647                 319.333333333333428                4087.400000000003274               28641.533333333354676
  3                 806.973333333334153                 822.321171427429363                 446.800000000000352                2997.200000000003456               40348.666666666707897
  4                 963.338666666668018                 894.803196720064761                 446.800000000000352                3172.400000000003274               48166.933333333399787
  5                 966.834666666667999                 859.348348380847824                 438.666666666666856                2554.000000000003638               48341.733333333402697
  6                1205.562666666668747                 992.867288628468714                1158.800000000000637                3287.600000000000364               60278.133333333433256
  7                1050.061333333334233                 994.187095634977368                 808.466666666667606                4845.799999999997453               52503.066666666709352
  8                 816.730666666666934                 876.178252408086678                 572.633333333334008                4611.199999999999818               40836.533333333347400
  9                1245.028333333333876                 951.113518614716781                1227.800000000001319                2971.849999999999454               62251.416666666693345
 10                1074.774222222222761                 944.413580571353918                 827.688888888889892                3203.399999999999636               53738.711111111137143
 11                1189.575111111112165                1011.761550638743415                 914.666666666667766                4129.599999999998545               59478.755555555602768
 12                1326.768000000000711                1013.678576892871092                1631.760000000001583                3388.639999999999418               66338.400000000037835
 13                1351.232333333334282                 932.129828036667391                1538.550000000001546                2919.349999999999454               67561.616666666712263
 14                1363.443555555556713                 906.250143823137478                1590.333333333334849                3203.399999999999636               68172.177777777833398
 15                1238.272000000001071                 874.157999279815499                1187.900000000001000                3561.499999999999091               61913.600000000049477
 16                1414.376000000001795                 949.355719821255320                1693.900000000001455                3561.499999999999091               70718.800000000090222
 17                1533.583703703704487                 878.849995665788470                1632.444444444446844                2894.666666666666060               76679.185185185226146
 18                1571.341666666667379                 833.332234387608878                1626.433333333332257                2971.849999999999454               78567.083333333372138
 19                1492.515000000000555                 824.162928257446310                1527.750000000001819                2919.349999999999454               74625.750000000029104
 20                1583.940800000001218                 805.856604504399456                1719.973333333332221                3304.639999999999418               79197.040000000066357
 21                1503.597333333333609                 815.053047668541467                1719.973333333332221                3388.639999999999418               75179.866666666683159
 22                1552.480380952380983                 787.807311752351552                1645.009523809522534                3071.085714285713948               77624.019047619047342
 23                1614.751407407407441                 760.045311686800801                1603.999999999998863                2848.000000000000000               80737.570370370376622
 24                1740.201185185185068                 656.314049408509845                1633.644444444443252                2894.666666666666060               87010.059259259258397
 25                1702.020333333333838                 678.505370258695052                1626.433333333332257                2971.849999999999454               85101.016666666691890
 26                1516.531333333333578                 565.689973902470456                1543.366666666665651                3974.450000000000728               75826.566666666680248
 27                1441.364266666667163                 608.335243665690768                1512.186666666665815                3821.600000000001273               72068.213333333362243
 28                1775.099000000000842                 590.709144780049655                1621.366666666665424                2971.849999999999454               88754.950000000040745
 29                1648.394074074074751                 743.899588415663629                1602.977777777776737                2894.666666666666060               82419.703703703737119
 30                1365.662666666666610                 712.474626814332396                1512.533333333332166                3821.600000000001273               68283.133333333331393
 31                1380.346666666666351                 601.089001591011538                1487.288888888887641                3075.000000000000909               69017.333333333313931
 32                1364.599726495726600                 566.321006000200555                1456.735042735041588                2933.907692307693651               68229.986324786324985
 33                1355.730393162393511                 576.587711756343197                1456.735042735041588                2933.907692307693651               67786.519658119679661
 34                1397.006370370370860                 671.609230113935837                1453.688888888887732                3549.866666666668152               69850.318518518542987
 35                1732.431492063492669                 817.970708547105914                1724.190476190478648                2541.828571428571649               86621.574603174638469
 36                1787.568177777777919                 709.060899473912514                1744.906666666669025                2647.680000000000291               89378.408888888894580
 37                1717.753454545454360                 698.203216374993190                1583.915151515150455                2782.399999999999636               85887.672727272714837
 38                1515.533666666666932                 597.742820287658787                1545.633333333332075                3974.450000000000728               75776.683333333348855
 39                1448.115000000000919                 654.165772434633027                1543.366666666665651                3974.450000000000728               72405.750000000043656
 40                1471.091809523809616                 662.841219238840040                1565.638095238094365                4083.628571428572286               73554.590476190482150
 41                1644.337866666666287                 539.388508008326539                1636.906666666665615                4433.000000000000000               82216.893333333311602
 42                1400.375111111111437                 495.954804564555332                1209.044444444445617                2736.000000000000455               70018.755555555573665
 43                1867.118666666666741                 691.306803771265550                1877.066666666666606                6282.199999999997090               93355.933333333334303
 44                1871.842666666666446                 755.119676608798841                1877.066666666666606                6267.199999999997090               93592.133333333316841
 45                1810.296000000000276                 736.056496280912143                1751.400000000002137                6267.199999999997090               90514.800000000017462
 46                1487.505333333334420                 703.666003200697787                1479.500000000001819                4738.699999999999818               74375.266666666720994
 47                1367.957511111112581                 627.303113003694989                1270.186666666668316                3692.400000000000546               68397.875555555627216
 48                1532.278000000000702                 664.129675276347257                1479.500000000001819                4738.699999999999818               76613.900000000037835
 49                2689.042666666667628                 471.809788181636179                2760.000000000003183                3127.200000000001637              134452.133333333389601
