# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 141.023111111111206                 318.008876899473364                  61.866666666666653                2060.266666666668243                7051.155555555559658
  1                 276.727111111111356                 440.217032423051990                  92.666666666666671                2060.266666666668243               13836.355555555568571
  2                 237.893333333333572                 336.596221863584958                 126.044444444444480                2060.266666666668243               11894.666666666678793
  3                 268.991111111111366                 274.107057142476435                 148.933333333333451                 999.066666666667857               13449.555555555569299
  4                 321.112888888889188                 298.267732240021530                 148.933333333333451                1057.466666666667834               16055.644444444460532
  5                 322.278222222222610                 286.449449460282608                 146.222222222222285                 851.333333333334508               16113.911111111130595
  6                 401.854222222222575                 330.955762876156200                 386.266666666666879                1095.866666666666788               20092.711111111129867
  7                 433.856000000000222                 445.721356753823443                 299.866666666666958                2471.466666666664423               21692.800000000010186
  8                 539.143111111111352                 693.325746228572484                 357.777777777778226                3774.666666666664241               26957.155555555567844
  9                 757.005333333333510                 763.138821571041944                 555.822222222222877                2611.466666666664423               37850.266666666677338
 10                 607.544000000000096                 705.331508325580671                 350.000000000000398                2611.466666666664423               30377.200000000004366
 11                 548.641777777778316                 542.983777483427843                 446.311111111111586                2611.466666666664423               27432.088888888913061
 12                 684.062222222222431                 647.846771458257990                 710.933333333334417                2611.466666666664423               34203.111111111124046
 13                 801.631111111111295                 711.955108655552635                 737.644444444445185                2471.466666666664423               40081.555555555562023
 14                 745.047111111111462                 637.642390843249700                 729.333333333334281                2611.466666666664423               37252.355555555572209
 15                 621.706666666667047                 491.226909063066671                 639.466666666667265                2471.466666666664423               31085.333333333350311
 16                 701.898666666667168                 582.324539612799526                 710.933333333334417                2471.466666666664423               35094.933333333356131
 17                 942.340444444444529                 751.693887294784759                 846.533333333334099                2611.466666666664423               47117.022222222229175
 18                 937.011555555555674                 700.651625228689340                 875.333333333333826                2611.466666666664423               46850.577777777783922
 19                 897.152888888888810                 708.093171935046939                 846.533333333334099                2471.466666666664423               44857.644444444442343
 20                 849.632888888889170                 569.715926184225623                 905.911111111110699                2471.466666666664423               42481.644444444456894
 21                 804.708444444444581                 589.087938814813810                 853.422222222222331                2611.466666666664423               40235.422222222230630
 22                 918.358222222222139                 645.345241421199830                 905.911111111110699                2611.466666666664423               45917.911111111105129
 23                1007.582222222222072                 697.147308719125590                 926.622222222221467                2471.466666666664423               50379.111111111102218
 24                1055.348444444444112                 667.456301519672365                 926.622222222221467                2611.466666666664423               52767.422222222208802
 25                1026.593777777777859                 630.567567236194009                 920.000000000001023                2611.466666666664423               51329.688888888893416
 26                1109.887999999999693                 681.278266977597696                 926.622222222221467                3854.666666666664241               55494.399999999986903
 27                1139.524444444444043                 766.379998720937920                 926.622222222221467                3854.666666666664241               56976.222222222204437
 28                1088.799999999999727                 585.795213161529773                 926.622222222221467                2611.466666666664423               54439.999999999985448
 29                1081.018666666666149                 669.256432934636791                 926.622222222221467                2611.466666666664423               54050.933333333312476
 30                1085.050666666666302                 828.385595657087038                 926.622222222221467                3854.666666666664241               54252.533333333311020
 31                1180.194666666665853                 842.115760794774133                 926.622222222221467                3854.666666666664241               59009.733333333293558
 32                1269.458666666666204                 889.347580215274434                 926.622222222221467                3854.666666666664241               63472.933333333305200
 33                1265.247111111110826                 911.653448881253667                 926.622222222221467                3854.666666666664241               63262.355555555535830
 34                1368.966222222221859                 963.872331520832404                 926.622222222221467                3854.666666666664241               68448.311111111092032
 35                1414.611555555555015                 949.332870934551238                 926.622222222221467                2611.466666666664423               70730.577777777754818
 36                1268.566222222221995                 826.555943830351112                 926.622222222221467                2611.466666666664423               63428.311111111099308
 37                1130.260444444444374                 749.185498162890894                 926.622222222221467                2611.466666666664423               56513.022222222214623
 38                1087.005333333333056                 721.950686507972250                 926.622222222221467                3854.666666666664241               54350.266666666655510
 39                1046.792888888888911                 748.695541746384606                 920.000000000001023                3854.666666666664241               52339.644444444442343
 40                1029.370666666666466                 706.283987473719208                 920.000000000001023                3854.666666666664241               51468.533333333325572
 41                1030.254222222222552                 585.354907560899164                 920.000000000001023                3854.666666666664241               51512.711111111122591
 42                1145.856888888888989                 924.372647438009153                 920.000000000001023                3854.666666666664241               57292.844444444453984
 43                 917.919111111111420                 455.444639738864169                 905.911111111110699                3864.666666666664241               45895.955555555570754
 44                 918.937777777777683                 474.647946967532448                 920.000000000001023                3854.666666666664241               45946.888888888883230
 45                 894.625777777778126                 468.429480160732339                 905.911111111110699                3854.666666666664241               44731.288888888906513
 46                 919.629333333333534                 610.126825568116260                 920.000000000001023                3854.666666666664241               45981.466666666674428
 47                1031.442666666666810                 708.058121417642383                 920.000000000001023                3864.666666666664241               51572.133333333338669
 48                 986.312000000000126                 574.428556633244398                 920.000000000001023                3854.666666666664241               49315.600000000005821
 49                 896.347555555555914                 157.269929393878726                 920.000000000001023                1042.400000000000546               44817.377777777794108
