# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                1487.689777777779454                2027.597999497102364                 639.533333333333417                8676.400000000006912               74384.488888888969086
  1                1995.913777777778932                2473.542612376484612                 634.222222222222058                7592.800000000004729               99795.688888888951624
  2                2770.986666666669407                2695.903516110654436                2737.333333333334849                9244.799999999999272              138549.333333333459450
  3                3473.077333333336355                2907.324374253872520                3452.266666666670062               10878.399999999986903              173653.866666666814126
  4                4158.186666666670135                2870.925252573927537                4547.733333333339942               10878.399999999986903              207909.333333333488554
  5                4150.624000000001615                2825.122845006841999                4363.200000000007094               11049.599999999987631              207531.200000000098953
  6                5276.064000000000306                3338.729674191398772                4750.933333333339760               11990.399999999990541              263803.200000000011642
  7                3673.898666666671033                2568.330173382958037                3960.533333333339669               14599.199999999989814              183694.933333333552582
  8                6201.130666666673278                3306.371435663372722                7363.200000000011642               11894.399999999977808              310056.533333333674818
  9                7145.322666666666919                3655.483442023560656                8268.800000000012005               11894.399999999977808              357266.133333333360497
 10                7187.968000000002576                3260.573071872554465                8169.600000000012187               12291.199999999993452              359398.400000000139698
 11                2377.493333333335613                1936.989658446424528                2448.000000000003638               10976.000000000010914              118874.666666666787933
 12                4115.466666666667152                2271.102797372039731                4484.266666666671881                8741.759999999998399              205773.333333333372138
 13                7828.810666666668112                2807.459904986784750                8148.400000000007822               12140.399999999970532              391440.533333333383780
 14                6330.432000000007974                1371.889945067023746                6345.600000000007640                9788.800000000001091              316521.600000000384171
 15                4108.885333333339986                1412.256428905490111                3844.800000000004729                8865.200000000000728              205444.266666667012032
 16                8145.138666666668541                2504.473115433080693                8418.000000000007276               12047.999999999974534              407256.933333333407063
 17                6673.984000000009473                1499.131919393352746                6489.600000000009459               11587.199999999982538              333699.200000000477303
 18                6203.072000000006483                1514.386090670410113                6252.800000000009277                8566.400000000008731              310153.600000000325963
 19                2094.314311111111692                1183.490441070111274                1944.639999999997599                5574.880000000004657              104715.715555555580067
 20                8903.519999999998618                1802.626077255062683                8547.200000000009823               12652.799999999973807              445175.999999999941792
 21                6332.053333333336013                1797.327048060224342                6606.400000000000546               14343.199999999993452              316602.666666666802485
 22                9838.975999999993292                2297.328761061798104               10361.599999999993088               13340.799999999970169              491948.799999999697320
 23                4205.341629629631825                1227.126575498837383                4174.044444444449255                6804.799999999995634              210267.081481481611263
 24               10198.125333333326125                2051.428695936989698               11203.199999999984357               11894.399999999977808              509906.266666666313540
 25                9559.029333333330214                1900.686223875054338                9673.600000000000364               12937.599999999976717              477951.466666666499805
 26                6669.242666666660625                1171.172061427540712                7176.799999999989268                9731.600000000000364              333462.133333333011251
 27                8164.906666666669480                2026.165911469242019                8976.000000000005457               10239.999999999994543              408245.333333333488554
 28                5077.213538461542157                 441.167695921923212                4935.384615384617973                6195.446153846154630              253860.676923077116953
 29                8307.543111111102917                1549.173714938059902                8855.866666666654055                9846.999999999981810              415377.155555555131286
 30               10094.826666666653182                2501.448387403665038               11513.599999999980355               11894.399999999977808              504741.333333332673647
 31               10095.285333333329618                2185.676361405567150               10324.799999999993815               12915.199999999977081              504764.266666666488163
 32                5627.311999999994441                1009.665345784539795                6021.599999999993997                6557.333333333320297              281365.599999999743886
 33                3635.495111111109054                1399.109877897522892                2987.555555555551564                8582.399999999999636              181774.755555555457249
 34                5786.904999999999745                1387.850013811328836                6443.299999999996544                7345.849999999992178              289345.250000000000000
 35                8556.959999999997308                2548.597871178928472                9478.400000000001455               10838.399999999992360              427847.999999999825377
 36                8747.456000000003769                1741.873738266919645                8388.800000000010186               12523.200000000002547              437372.800000000162981
 37                5442.076444444446679                1118.099967139219416                5248.800000000003820                7810.133333333313203              272103.822222222341225
 38                7986.912000000006628                2084.051234748315892                8371.200000000006185               10660.799999999986539              399345.600000000325963
 39                8812.767999999998210                1796.471454391258931                9121.599999999996726               11121.599999999985812              440638.399999999906868
 40                9001.023999999997613                1795.612779923327025                9248.000000000003638               11121.599999999985812              450051.199999999837019
 41                9521.930666666667094                1291.693382877936756                9321.600000000002183               11484.799999999982901              476096.533333333325572
 42                9591.487999999997555                2199.799413459309562                9628.800000000001091               14822.399999999952342              479574.399999999848660
 43                9963.839999999989232                2109.836491863749416                9628.800000000001091               14822.399999999952342              498191.999999999476131
 44                9624.874666666659323                2463.912083303103373                9628.800000000001091               14822.399999999952342              481243.733333332929760
 45               10194.175999999988562                2563.019694232546044                9628.800000000001091               14822.399999999952342              509708.799999999464490
 46               10329.407999999988533                2966.141393517152210                9628.800000000001091               14822.399999999952342              516470.399999999441206
 47               11468.074666666645498                3115.974150702630141               14019.199999999957072               14822.399999999952342              573403.733333332231268
 48               11857.685333333303788                3215.889065390141695               14019.199999999957072               14822.399999999952342              592884.266666665207595
 49               12953.151999999965483                1841.942238642660186               14019.199999999957072               14822.399999999952342              647657.599999998230487
