# Score (population vs baselines)

  gen                   avg                                 stdDev                              median                              max                                 total

  0                  80.647333333333279                 166.302930165940495                  47.566666666666663                 984.899999999997362                4032.366666666663605
  1                 121.013333333333264                 251.057447078020942                  54.066666666666663                1200.233333333334485                6050.666666666663332
  2                 188.295999999999793                 388.071781311997029                  52.066666666666656                2284.499999999997726                9414.799999999990177
  3                  76.873999999999981                 125.061082904848249                  54.000000000000000                 665.800000000000637                3843.699999999998909
  4                  81.144666666666708                 130.865452296963866                  56.333333333333329                 728.666666666667425                4057.233333333335395
  5                  78.435333333333261                 141.674538198568797                  47.266666666666666                 826.599999999998886                3921.766666666662786
  6                 143.801999999999907                 194.481840273070020                  63.700000000000003                 730.866666666665651                7190.099999999994907
  7                 155.541333333333313                 236.377562815650236                  58.233333333333320                 979.300000000000750                7777.066666666665697
  8                 148.476000000000028                 247.563236100283120                  58.533333333333324                1015.866666666667015                7423.800000000002001
  9                 180.729333333333187                 278.097920295871177                  73.099999999999994                1261.633333333331393                9036.466666666659876
 10                 233.250666666666433                 367.429614619664505                  69.599999999999980                1548.166666666665606               11662.533333333321934
 11                 230.391999999999911                 361.596574317597913                  74.066666666666649                1697.400000000001000               11519.599999999994907
 12                 306.845333333333144                 426.273765906892606                  75.666666666666643                1893.499999999998408               15342.266666666657329
 13                 194.311999999999983                 289.280157383806625                  71.199999999999989                1134.033333333332848                9715.599999999998545
 14                 179.342666666666616                 263.335340248892464                  63.699999999999982                1085.599999999999909                8967.133333333331393
 15                 200.287333333333237                 275.570136979882193                  82.866666666666632                1217.499999999998636               10014.366666666661331
 16                 270.565333333333058                 309.738933365934031                  88.666666666666671                1441.533333333331939               13528.266666666651872
 17                 305.355333333333249                 388.568068717838628                  95.033333333333360                1257.299999999998363               15267.766666666662786
 18                 227.897999999999968                 322.308930921182366                  67.966666666666654                1224.699999999998681               11394.899999999997817
 19                 201.699999999999903                 308.200565937904287                  66.633333333333340                1617.833333333333712               10084.999999999994543
 20                 186.711333333333158                 268.901161404871516                  74.533333333333317                1166.766666666665287                9335.566666666658421
 21                 176.067333333333266                 277.911259656747063                  69.500000000000000                1237.166666666664923                8803.366666666663150
 22                 116.983999999999995                 145.229779352124126                  73.733333333333348                 782.700000000000955                5849.199999999999818
 23                 210.789999999999992                 333.702069267382910                  72.800000000000011                1484.833333333330984               10539.500000000000000
 24                 170.455333333333300                 257.781112109565413                  77.433333333333323                1524.033333333330575                8522.766666666664605
 25                 236.788000000000039                 321.233695600778049                  84.900000000000006                1417.366666666664742               11839.400000000001455
 26                 238.015333333333189                 292.043896412089794                  77.066666666666677                1417.366666666664742               11900.766666666659148
 27                 288.510000000000048                 356.424237874536800                  82.699999999999974                1161.199999999999136               14425.500000000003638
 28                 263.801999999999907                 348.810766297270277                  82.499999999999986                1523.733333333330620               13190.099999999996726
 29                 261.407333333333213                 316.918698742893412                  95.100000000000051                1507.399999999999636               13070.366666666661331
 30                 253.151333333333326                 295.141427809335710                  84.700000000000003                1128.233333333332439               12657.566666666665697
 31                 216.351333333333230                 279.560558989759159                  88.933333333333323                1277.900000000001000               10817.566666666662059
 32                 242.625333333333174                 328.178584009783549                  91.500000000000014                1413.766666666666424               12131.266666666659148
 33                 244.287333333333152                 339.020242915112874                  81.566666666666677                1413.766666666666424               12214.366666666657693
 34                 327.961333333333073                 432.533380618574881                  82.333333333333300                1620.533333333331029               16398.066666666654783
 35                 288.981999999999800                 352.820906423263409                  94.500000000000057                1312.133333333330938               14449.099999999989450
 36                 325.504666666666651                 369.994164399025806                 132.533333333333246                1411.700000000001410               16275.233333333331757
 37                 359.530666666666775                 432.294141263407255                 141.866666666666617                2308.699999999999818               17976.533333333340124
 38                 339.284666666666681                 384.488550397942390                 132.466666666666754                2047.466666666667152               16964.233333333333576
 39                 439.620000000000005                 374.540343295025309                 374.999999999999829                1533.666666666664014               21981.000000000000000
 40                 395.879333333333250                 304.514189991570447                 401.499999999999716                1084.100000000001273               19793.966666666663514
 41                 446.343333333333305                 456.466685275789700                 376.999999999999432                2739.000000000001364               22317.166666666664241
 42                 409.335999999999899                 509.845339417967466                 152.800000000000097                2739.000000000001364               20466.799999999995634
 43                 466.361333333333164                 479.240688281878818                 378.799999999999500                2655.000000000001364               23318.066666666658421
 44                 501.063999999999737                 518.974500587028501                 434.499999999999773                3384.699999999999818               25053.199999999986176
 45                 519.804000000000087                 709.433573858281193                 377.400000000000375                3384.699999999999818               25990.200000000004366
 46                 433.798000000000172                 555.789912363375834                 300.133333333333610                3384.699999999999818               21689.900000000008731
 47                 487.877333333333354                 565.132505462804488                 388.466666666666356                3384.699999999999818               24393.866666666668607
 48                 516.874666666666712                 549.418481044984333                 420.999999999999943                2408.733333333332666               25843.733333333333576
 49                 642.099333333333220                 796.768801137583637                 383.866666666666447                3155.166666666667425               32104.966666666663514
 50                 575.569333333333020                 669.431516930264934                 408.733333333333064                2878.099999999999909               28778.466666666652600
