# Fitness (population vs baselines)

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 185.619333333333344                 247.500800792419625                 163.800000000000011                1505.466666666668061                9280.966666666667152
  1                 203.273333333333284                 300.991069358101356                 183.466666666666669                2063.400000000001455               10163.666666666664241
  2                 275.330333333333272                 476.764063076276670                 152.216666666666640                2409.800000000001091               13766.516666666662786
  3                 277.172666666666601                 464.562080479622580                 145.533333333333303                2409.800000000001091               13858.633333333331393
  4                 302.457086419753182                 384.569730424562749                 202.879012345679030                1750.888888888888687               15122.854320987658866
  5                 231.032333333333327                 215.419030094320675                 206.916666666666686                1492.800000000001091               11551.616666666666788
  6                 250.207374999999985                 232.777206547126838                 206.214583333333280                1206.666666666666742               12510.368749999999636
  7                 403.359999999999843                 686.959644941226998                 248.000000000000000                4204.266666666662786               20167.999999999992724
  8                 226.767620370370338                 533.598616159293442                  75.957175925925924                3360.266666666664150               11338.381018518517521
  9                 269.463567901234512                 479.446741529473115                  88.582098765432093                1922.561728395059163               13473.178395061726405
 10                 219.283283950617403                 501.166304972382989                 103.954320987654313                3142.258024691357150               10964.164197530870297
 11                 324.869666666666717                 419.516589898040138                 237.406249999999943                2816.693749999997635               16243.483333333337214
 12                 260.789008746355705                 461.065993952979170                 146.501603498542238                3267.619047619045432               13039.450437317786054
 13                 375.905679012345445                 484.041472395003495                 222.335802469135785                2138.281481481476931               18795.283950617271330
 14                 226.252555555555602                 205.669327381837576                 163.833333333333343                 892.200000000000387               11312.627777777779556
 15                 227.581369913123041                 466.863851057496561                  79.320050297210784                2829.362962962961319               11379.068495656152663
 16                 230.297869268077619                 363.219763100550836                  81.456917899434899                1691.852910052908101               11514.893463403881469
 17                 273.181364583333448                 416.029255696483290                 125.477083333333297                2148.450000000002547               13659.068229166672609
 18                 360.318967943901669                 428.104343351151670                 193.418267906336013                1976.809879789628440               18015.948397195083089
 19                 285.745887517146741                 550.714247359540195                 116.807475994513013                3336.866666666662240               14287.294375857336490
 20                 322.023734182976852                 282.532403850774699                 281.215414959793691                1961.107692307690968               16101.186709148842056
 21                 194.704712980959556                 504.007675495781257                  15.003697404887857                3098.577685995034244                9735.235649047977859
 22                 203.598928805384617                 274.340247913363157                  88.023901306554365                1365.080155130834100               10179.946440269230152
 23                 183.771794801311728                 391.261414030931178                  26.868762056327167                2322.617592592591791                9188.589740065586739
 24                 318.210901234567814                 418.099943774474582                 164.438888888888869                1775.066666666665697               15910.545061728391374
 25                 262.121031828703792                 574.073926099602431                 107.234076003086429                3800.433333333336122               13106.051591435190858
 26                 267.523266975308502                 561.169584925812273                  93.625231481481478                3091.699999999997544               13376.163348765425326
 27                 279.422310621603174                 328.289157529174929                 176.535521721916297                1658.919123204834932               13971.115531080158689
 28                 256.656031250000069                 418.319251950444880                 100.417187499999983                2436.982031249999181               12832.801562500002547
 29                 217.524343750000014                 392.453504176130139                  91.736458333333331                2513.408854166665606               10876.217187500000364
 30                 262.836197916666549                 506.126838288488784                  97.662499999999980                2841.350000000000364               13141.809895833328483
 31                 239.508695703703779                 186.042332791361588                 170.724345679012345                 921.039999999999736               11975.434785185188957
 32                 271.276655976676466                 254.204284518848169                 180.860641399416949                1346.639795918368009               13563.832798833822380
 33                 262.265358024691466                 285.565388970457207                 167.816666666666606                1518.938888888887959               13113.267901234572491
 34                 273.803021333333334                 311.183990473496351                 178.106799999999993                1866.557866666664495               13690.151066666665429
 35                 226.204137026239124                 415.677103380994311                  94.531778425655972                2698.034548104953501               11310.206851311955688
 36                 254.692842666666735                 412.209203632013555                 127.666000000000025                2404.720000000002528               12734.642133333336460
 37                 213.799712666666551                 398.158917733195324                  83.583716666666646                1921.594266666663543               10689.985633333328224
 38                 213.546891277939721                 346.190533398287073                  86.048621234207957                1921.184791059277813               10677.344563896986074
 39                 347.569603498542051                 425.209178474788530                 183.047570456754130                1769.530612244893746               17378.480174927102780
 40                 238.607157499999886                 367.835605649080833                  83.986456249999975                1773.573333333331675               11930.357874999994237
 41                 221.503966208333225                 588.023636648700176                  25.591722916666669                3432.076666666665915               11075.198310416661116
 42                 325.294882666666581                 599.946304616525481                 112.467600000000019                3420.892266666665364               16264.744133333329955
 43                 357.320486304012206                 472.069049901847848                 190.812393904320970                2736.526851851848733               17866.024315200611454
 44                 342.384308641975224                 508.726762997930621                 196.989506172839526                3235.054320987649589               17119.215432098761084
 45                 203.901322916666714                 560.428052927630802                  18.885783179012353                3615.396354166667152               10195.066145833336122
 46                 221.774464295432409                 615.330626944064988                  23.831508260447045                4273.553449951409675               11088.723214771620405
 47                 157.856084239583396                 312.670618916033959                  25.940754166666661                1821.264000000002397                7892.804211979169850
 48                 241.961961449860468                 328.373546760461295                  86.380049826217316                1728.297656140351819               12098.098072493023210
 49                 343.352710957622548                 338.940446290898933                 252.529276315789502                1798.832104108952535               17167.635547881127422
 50                 245.910963673106295                 379.630525330878129                  82.737830838348572                1605.512820512818962               12295.548183655315370
