# Fitness (population vs teach set)

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 383.830493827160524                 875.560223757966355                 177.587654320987610                5360.666666666671517               19191.524691358026757
  1                 375.985155607385877                 580.717360915660379                 246.525319339164241                2353.740952380954241               18799.257780369294778
  2                 423.111506172839370                1079.609546591161461                 262.656790123456744                6932.266666666657329               21155.575308641968149
  3                 391.746345679012506                 697.379344749263851                 186.530864197530889                2538.200000000002092               19587.317283950626006
  4                 627.923999999999978                1286.902968491754564                 330.066666666666663                8840.533333333336486               31396.199999999997090
  5                 587.960033333333172                1248.430304553148517                 221.714399999999927                5758.559999999999491               29398.001666666656092
  6                 531.103802469135985                1156.701901520782258                 252.375308641975209                7366.800000000005639               26555.190123456799483
  7                 485.202958333333299                 737.588952967671048                 263.214583333333280                4346.704166666660967               24260.147916666664969
  8                 321.022814814814865                 680.609816741586314                  66.012396069538937                3062.400000000000546               16051.140740740744150
  9                 323.703453959748117                 582.996291663102284                  12.739214640756321                2665.296703296703527               16185.172697987405627
 10                 333.760981535471387                 869.391990358670000                  42.260957240038884                5013.279300291547770               16688.049076773568231
 11                 591.189029574759616                1244.218836716100213                   1.233281207133060                4219.199999999995271               29559.451478737981233
 12                 379.610454503886785                 847.937661613456271                   2.311842706904439                3451.733333333336304               18980.522725194339728
 13                 688.973333333333244                1405.072801720014922                 175.333333333333513                8073.600000000004911               34448.666666666664241
 14                 321.712091159529393                 453.314584077556049                  62.417630853994503                2865.643175557224822               16085.604557976468641
 15                 308.566813489810897                 404.124129749671170                 291.522235788902492                2220.320643642072810               15428.340674490544188
 16                 483.755723182583608                 517.799241606888472                 164.574101562500118                1767.183000000000220               24187.786159129180305
 17                 536.099197595792475                 852.824311477793913                  92.801602804908697                4897.963636363639125               26804.959879789625120
 18                1056.142870370369565                1601.480159633974608                 451.533333333333474                7145.704938271591345               52807.143518518474593
 19                 440.042057580174969                 630.570753432582705                 411.100000000000250                3930.728571428567193               22002.102879008747550
 20                2028.037333333330707                3355.343410599066374                1108.266666666667561               17986.399999999928696              101401.866666666537640
 21                2248.183999999996104                3436.158942063319955                 862.800000000001091               18197.599999999954889              112409.199999999807915
 22                2137.130666666664638                3755.981146632589571                1225.600000000001046               16025.599999999936699              106856.533333333223709
 23                 402.927139041859789                 861.131481508674369                  16.460137494151102                3159.393298059958397               20146.356952092988649
 24                 449.650182089767213                 715.110796910706654                  95.411683403520087                2985.265522081850577               22482.509104488359299
 25                 678.948597136487820                1334.731714635677463                 184.040697873799843                8814.830642361084756               33947.429856824390299
 26                5064.671999999989566                5517.660200915903260                1874.133333333336168               17222.399999999928696              253233.599999999481952
 27                 799.547160493825231                1855.018644326866934                 143.725925925926106                9468.399999999975989               39977.358024691260653
 28                4591.157333333325369                5065.282778053565380                1815.466666666669198               18207.999999999919964              229557.866666666290257
 29                1879.731999999998152                2200.049666166243696                 863.333333333334281                7078.266666666645506               93986.599999999903957
 30                 373.153626433272393                 516.443134766188223                  66.165682882149426                2752.822145328720580               18657.681321663618291
 31                 808.783393229165767                1761.006568926681439                 114.752083333333402               11726.399999999981446               40439.169661458290648
 32                 576.910222222222160                1316.074089095195632                  73.876543209876658                7286.400000000007822               28845.511111111107311
 33                 405.679017006802837                 829.997424010503778                  13.475485908649190                3251.828571428573014               20283.950850340141187
 34                 697.363354666666964                 888.333248075406232                 419.022133333333443                5789.679999999993925               34868.167733333350043
 35                 372.988458666666872                 632.748780449701599                  75.319466666666727                2240.452800000000025               18649.422933333342371
 36                 320.486865617264073                 437.375043506435418                 186.483014793218985                2854.524216247345521               16024.343280863202381
 37                 482.463289300257031                 501.951782940932958                 324.923684677351957                2232.021212121205735               24123.164465012850997
 38                 411.723975019436125                 834.755886594969979                  33.914355053449988                4771.492357142848959               20586.198750971805566
 39                 544.271983024690712                1314.275206150526174                  67.321990740740802                8797.999999999976353               27213.599151234535384
 40                 727.480061728393821                1384.319944919920545                   0.825308641975310                4038.399999999987813               36374.003086419688771
 41                 280.357720493827060                 625.563339629846610                  11.064079012345696                2849.386666666668589               14017.886024691351849
 42                 662.303259259258084                1819.526263534390409                  98.434567901234630               11732.592592592563960               33115.162962962902384
 43                 432.031795134506524                 635.574761304486174                 210.429007932908689                3186.651428571428823               21601.589756725326879
 44                 497.434335972221959                 573.506673454089764                 161.354726620370514                2611.626666666667006               24871.716798611098056
 45                 326.775867489758809                 473.344751360448299                  11.763772568654232                1741.743726293431337               16338.793374487941037
 46                 326.024431989866628                 502.268431805133332                  18.045638296859718                2077.548051948052944               16301.221599493330359
 47                 495.183904000000211                 658.876677174904557                  28.439999999999962                2049.599999999996271               24759.195200000009208
 48                 517.205975984601650                 731.794247843992935                  22.418358323721602                2190.870588235296054               25860.298799230080476
 49                 599.865999999999531                1193.248598786149387                 109.900000000000134                4999.200000000002547               29993.299999999977445
 50                 423.996489793770593                 823.488813562394625                 132.070328282828285                3444.840485106740289               21199.824489688529866
