# Score (population vs teach set)

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 171.100333333333225                 375.564057851505083                  72.266666666666666                1965.183333333334758                8555.016666666660967
  1                 207.675333333333469                 406.024240152673485                  87.150000000000020                1635.483333333334940               10383.766666666673700
  2                 140.235999999999962                 387.018984136149982                  85.400000000000006                2532.933333333330211                7011.799999999997453
  3                 252.606333333333396                 456.499443469175333                  96.416666666666700                1564.200000000001637               12630.316666666669335
  4                 180.481333333333254                 355.077549035887671                  78.266666666666652                2151.466666666667606                9024.066666666662059
  5                 329.873333333333164                 677.784187047108844                 100.450000000000017                2860.949999999999818               16493.666666666656965
  6                 245.819333333333333                 470.373970396132961                  96.000000000000000                2674.350000000001273               12290.966666666667152
  7                 243.649666666666718                 322.618782181935444                 117.716666666666768                1632.599999999992178               12182.483333333335395
  8                 570.708000000000084                 449.608704520324579                 368.800000000000068                1789.333333333334167               28535.400000000001455
  9                 487.467666666667014                 559.786662353615156                 114.650000000000034                1695.700000000000955               24373.383333333349583
 10                 321.431333333333271                 443.067237481325719                 119.966666666666725                2050.700000000001637               16071.566666666663878
 11                 907.306333333333214                1480.369760389799467                 136.616666666666760                5060.699999999992542               45365.316666666658421
 12                 702.914666666666903                 933.322374796619215                 210.666666666666941                3883.200000000003456               35145.733333333344490
 13                 362.157333333333327                 502.902538958261914                 175.333333333333513                2018.400000000001228               18107.866666666664969
 14                 729.098666666667214                 689.852767317781399                 540.533333333334099                1980.066666666668198               36454.933333333363407
 15                 891.661333333334028                 535.988118208272340                1088.233333333334031                1722.200000000001864               44583.066666666702076
 16                1369.217333333333727                1127.464539412610520                1241.649999999999636                4040.100000000000819               68460.866666666683159
 17                 557.408000000000357                 622.568592367673659                 187.466666666666868                2385.000000000001819               27870.400000000019645
 18                 628.790666666666539                 533.454477576317913                 634.399999999999864                2037.466666666667606               31439.533333333325572
 19                1133.150666666667576                 837.905678044704814                1335.516666666667334                2874.150000000000091               56657.533333333376504
 20                 253.504666666666338                 419.417926324883297                 138.533333333333445                2248.299999999991087               12675.233333333317205
 21                 463.267999999999176                 691.166532817604320                 189.400000000000205                3666.399999999991451               23163.399999999957799
 22                 267.141333333333080                 469.497643329073696                 153.200000000000131                2003.199999999992087               13357.066666666652964
 23                 495.937333333332958                 746.877260231334731                 138.066666666666805                2804.666666666661058               24796.866666666646779
 24                 766.988000000000170                 614.652457093889439                 650.250000000000455                2212.650000000000546               38349.400000000008731
 25                 658.805333333333010                 740.699432904391642                 405.850000000000534                3946.633333333323208               32940.266666666648234
 26                 633.083999999998696                 689.707525114487908                 234.266666666667021                2152.799999999991087               31654.199999999935244
 27                 482.410666666665861                 757.275226921124954                 205.533333333333530                3801.399999999990541               24120.533333333292831
 28                 573.894666666665671                 633.160347256695673                 226.933333333333650                2275.999999999989996               28694.733333333286282
 29                 282.889333333333184                 290.255456102607923                 151.466666666666782                 947.199999999997544               14144.466666666659876
 30                 727.177333333334104                 704.485910542496185                 572.866666666667356                2285.866666666666788               36358.866666666704987
 31                 912.647999999999570                1070.668416606289838                 624.066666666667061                5186.999999999991815               45632.399999999979627
 32                 560.479999999999450                 672.528974873531524                 249.333333333333712                2732.400000000002365               28023.999999999974534
 33                 521.598666666666645                 700.563803992818976                 146.066666666666777                2437.800000000001546               26079.933333333334303
 34                 377.065333333333626                 418.497935795254818                 153.200000000000159                1872.600000000002183               18853.266666666680976
 35                 602.585333333333438                 670.954052315225567                 220.133333333333638                2375.799999999997908               30129.266666666670062
 36                 760.312666666667155                 535.296166658753577                 639.650000000000091                1771.650000000002137               38015.633333333360497
 37                 587.242000000000189                 469.534252037058593                 558.233333333331757                1664.999999999996589               29362.100000000009459
 38                 405.253666666666675                 538.009019650641562                 145.450000000000102                2486.199999999997999               20262.683333333334303
 39                 639.074333333332902                 772.289125264839868                 268.833333333333599                3706.299999999996544               31953.716666666645324
 40                1316.381333333331213                2006.097880852939170                 178.266666666666879                6057.599999999983083               65819.066666666563833
 41                 508.319999999999482                 578.400671891417687                 216.866666666666958                2659.199999999997999               25415.999999999974534
 42                 391.881333333332975                 582.395674936625255                 173.200000000000159                3214.999999999991815               19594.066666666647507
 43                 765.463333333333253                 598.460576302974346                 702.300000000000637                2733.666666666663332               38273.166666666664241
 44                 516.761333333333027                 459.059891377535678                 357.800000000000523                1743.216666666664196               25838.066666666651145
 45                 515.074000000000183                 599.843755055894690                 128.300000000000040                2234.199999999999363               25753.700000000011642
 46                 584.992666666666878                 622.387493493670604                 332.800000000000125                2523.300000000001091               29249.633333333342307
 47                1538.368000000000166                1501.354759482396503                1421.999999999997954                5123.999999999991815               76918.400000000008731
 48                1293.557333333333418                1251.680195133991901                 936.399999999998840                3882.600000000003547               64677.866666666668607
 49                 470.509333333332904                 626.999489882477747                 196.400000000000233                2321.800000000001091               23525.466666666645324
 50                 554.110999999999649                 643.460025639250716                 324.166666666666686                3015.083333333325299               27705.549999999981083
