# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 160.152000000000044                 251.325682656322982                  28.000000000000000                1116.533333333333985                8007.600000000002183
  1                 216.904000000000053                 212.625507891744377                 181.599999999999994                 849.333333333334167               10845.200000000002547
  2                 264.490666666666755                 238.909058945495588                 225.599999999999966                 957.200000000000955               13224.533333333336486
  3                 515.533333333333758                 517.548265489424466                 353.333333333333428                2356.000000000003183               25776.666666666689707
  4                 666.826666666667279                 598.564257313560574                 385.200000000000216                2410.800000000002001               33341.333333333364862
  5                 910.018666666667400                 741.287188017049061                 466.000000000000057                2410.800000000002001               45500.933333333370683
  6                 765.136000000000649                 637.662726729073370                 385.866666666666845                2351.866666666668607               38256.800000000032014
  7                 798.624000000000706                 657.938307916480198                 404.666666666666799                2351.866666666668607               39931.200000000033469
  8                 893.134666666667158                 667.303153029166538                 779.400000000000773                3094.733333333329483               44656.733333333359042
  9                 933.930666666667435                 674.580780694038367                 819.733333333334485                3094.733333333329483               46696.533333333369228
 10                 919.430222222223051                 633.715047647610163                 794.311111111112041                2706.799999999998363               45971.511111111154605
 11                 972.979555555556544                 655.296288253877606                1057.422222222223581                2706.799999999998363               48648.977777777829033
 12                 944.696000000000367                 634.499745858980987                 834.666666666667652                2320.699999999998909               47234.800000000017462
 13                 959.554666666667458                 638.726863495744624                1043.040000000001328                2102.613333333334594               47977.733333333373594
 14                 987.893333333333885                 756.911440493944042                 916.955555555556543                3563.799999999995634               49394.666666666693345
 15                1025.328000000001339                 697.582131886354887                1134.933333333334986                2559.800000000002001               51266.400000000066939
 16                 956.830222222222915                 664.646196924813694                 884.933333333333849                2457.333333333335304               47841.511111111147329
 17                 931.690666666667539                 608.026870935451598                1040.400000000001455                1929.233333333331984               46584.533333333376504
 18                 825.639555555556285                 628.997170847472262                 774.422222222223127                2212.977777777779920               41281.977777777814481
 19                 905.060266666667644                 676.504515976662674                1032.666666666668107                2218.533333333335122               45253.013333333379705
 20                 808.212266666667233                 735.098349775332963                 514.026666666666415                3722.159999999995307               40410.613333333363698
 21                 928.656296296296659                 777.433203668492069                 905.525925925926913                3299.866666666662695               46432.814814814832062
 22                1147.302222222222326                 869.189225472747353                1038.711111111112587                3299.866666666662695               57365.111111111116770
 23                1405.136296296296450                 942.960459319942174                1500.933333333334076                3299.866666666662695               70256.814814814817510
 24                1403.116952380952625                 875.692532319555085                1533.428571428572241                3450.685714285709764               70155.847619047635817
 25                1469.790666666666539                 950.119489346002865                1515.150000000000773                3365.849999999995816               73489.533333333325572
 26                1279.349333333333561                1027.369766231331369                1515.150000000000773                3365.849999999995816               63967.466666666674428
 27                1484.605000000001155                 896.843425671082969                1554.833333333335304                3365.849999999995816               74230.250000000058208
 28                1597.342518518519000                 800.607941536062185                1558.992592592594747                3299.866666666662695               79867.125925925953197
 29                1410.934476190476744                 863.275308989906421                1533.428571428572241                3450.685714285709764               70546.723809523842647
 30                1559.610666666668067                 888.509793061517826                1591.920000000000982                3722.159999999995307               77980.533333333398332
 31                1473.049000000000206                 988.550098491106269                1515.150000000000773                3365.849999999995816               73652.450000000011642
 32                1563.774833333333390                1011.583930929730855                1451.175000000000637                3068.924999999996089               78188.741666666668607
 33                1530.277000000000044                1047.470892542496813                1451.175000000000637                3068.924999999996089               76513.850000000005821
 34                1560.040833333333467                1127.703092120647170                1451.175000000000637                3068.924999999996089               78002.041666666671517
 35                1345.049523809523180                1170.979584351407993                 954.438095238096366                3111.342857142853063               67252.476190476154443
 36                1279.539282051281134                1153.150396323283530                1015.302564102565384                3137.446153846150082               63976.964102564059431
 37                1263.103666666667323                1011.480219437993355                1023.200000000001410                3365.849999999995816               63155.183333333370683
 38                1615.894358974358738                1007.451084542285571                1465.938461538462207                3137.446153846150082               80794.717948717938270
 39                1445.744571428570680                1106.393060403728896                1460.314285714286370                3111.342857142853063               72287.228571428538999
 40                1327.240242424242297                1086.749923323286794                 976.193939393940582                3203.890909090905097               66362.012121212115744
 41                1254.324190476190779                1002.549512887183141                 960.171428571429942                3450.685714285709764               62716.209523809542588
 42                1381.285925925925767                 966.563363230595542                 994.844444444445571                3299.866666666662695               69064.296296296291985
 43                1225.997000000000526                 983.973459915853596                 957.550000000001319                3365.849999999995816               61299.850000000027649
 44                 999.906133333333514                 935.164981414356248                 968.560000000001310                3722.159999999995307               49995.306666666678211
 45                1459.341948717948071                1043.970228245101680                1465.938461538462207                3137.446153846150082               72967.097435897405376
 46                1625.426518518517469                1083.942951258337871                1444.066666666667288                3035.933333333329756               81271.325925925877527
 47                1457.383111111111020                1083.649754295358889                 948.986666666667929                3088.719999999996162               72869.155555555553292
 48                1251.325090909090704                1037.310374507634151                 952.545454545455868                3203.890909090905097               62566.254545454539766
 49                1443.909142857143024                1088.227379878539296                 949.685714285715562                3111.342857142853063               72195.457142857150757
