# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                  53.384000000000015                  83.775227552107651                   9.333333333333334                 372.177777777777976                2669.200000000000728
  1                  72.301333333333346                  70.875169297248121                  60.533333333333331                 283.111111111111370                3615.066666666667516
  2                  88.163555555555575                  79.636352981831863                  75.199999999999989                 319.066666666667004                4408.177777777778829
  3                 171.844444444444520                 172.516088496474822                 117.777777777777814                 785.333333333334394                8592.222222222226264
  4                 222.275555555555684                 199.521419104520135                 128.400000000000063                 803.600000000000705               11113.777777777784650
  5                 303.339555555555876                 247.095729339016344                 155.333333333333343                 803.600000000000705               15166.977777777792653
  6                 255.045333333333645                 212.554242243024390                 128.622222222222291                 783.955555555556202               12752.266666666682795
  7                 266.208000000000197                 219.312769305493418                 134.888888888888943                 783.955555555556202               13310.400000000010550
  8                 363.350222222222385                 305.648846059463210                 338.355555555555895                1808.577777777775054               18167.511111111118225
  9                 382.208000000000084                 307.645749066545648                 358.088888888889358                1808.577777777775054               19110.400000000005093
 10                 430.518222222222221                 368.107523058342110                 431.333333333333883                1931.866666666664059               21525.911111111112405
 11                 445.443555555555804                 377.124810042811760                 431.333333333333883                1931.866666666664059               22272.177777777789743
 12                 516.207999999999970                 425.987504407474717                 431.333333333333883                1931.866666666664059               25810.399999999997817
 13                 543.879999999999882                 473.135827192191186                 464.000000000000455                1931.866666666664059               27193.999999999996362
 14                 584.075555555555411                 549.959465478261563                 466.222222222222626                2507.599999999997635               29203.777777777770098
 15                 514.848000000000070                 429.866800830784712                 466.222222222222626                1931.866666666664059               25742.400000000001455
 16                 582.309333333333484                 498.295911843356237                 536.355555555555043                1931.866666666664059               29115.466666666674428
 17                 498.814222222222440                 409.301688576778474                 469.688888888888926                1808.577777777775054               24940.711111111122591
 18                 484.132444444444502                 498.660411328560997                 385.466666666667152                1808.577777777775054               24206.622222222224082
 19                 515.715555555555738                 462.364467428824241                 469.688888888888926                1931.866666666664059               25785.777777777788287
 20                 456.076444444444519                 520.962093304253813                 362.800000000000409                2507.599999999997635               22803.822222222224809
 21                 621.410666666666543                 664.361442712296707                 429.422222222222842                2507.599999999997635               31070.533333333325572
 22                 681.053333333333285                 697.576866772966355                 566.044444444445276                2507.599999999997635               34052.666666666664241
 23                 783.302222222222099                 738.498640884093334                 610.533333333334213                2507.599999999997635               39165.111111111102218
 24                 734.680888888889058                 645.083090718599351                 633.955555555556430                2507.599999999997635               36734.044444444451074
 25                 806.513777777777818                 714.012863855345813                 668.177777777778715                2507.599999999997635               40325.688888888893416
 26                 720.437333333333413                 755.752853840263242                 633.955555555556430                2507.599999999997635               36021.866666666668607
 27                 783.584888888888827                 669.270421455969426                 678.844444444445230                2507.599999999997635               39179.244444444440887
 28                 869.901333333333127                 654.066474111191155                 786.488888888889619                2507.599999999997635               43495.066666666658421
 29                 742.671111111111145                 617.196055146894082                 678.844444444445230                2507.599999999997635               37133.555555555554747
 30                 710.796444444445115                 552.553933609969818                 701.022222222223149                2507.599999999997635               35539.822222222253913
 31                 806.491555555555692                 718.982265639423645                 786.488888888889619                2507.599999999997635               40324.577777777783922
 32                1059.119111111110669                 912.459252558952471                 786.488888888889619                2507.599999999997635               52955.955555555534374
 33                1045.423999999999523                 942.940764130263688                 786.488888888889619                2507.599999999997635               52271.199999999975262
 34                1068.391111111110604                 973.887542634550528                 786.488888888889619                2507.599999999997635               53419.555555555532919
 35                 933.759111111110997                 968.968595461083851                 633.955555555556430                2507.599999999997635               46687.955555555548926
 36                 868.552888888888560                 955.707609944834189                 566.888888888889596                2507.599999999997635               43427.644444444427791
 37                 735.106666666666911                 765.455459052054607                 616.933333333332484                2507.599999999997635               36755.333333333343035
 38                1026.070222222221673                 872.731435452431924                 803.600000000000705                2507.599999999997635               51303.511111111089122
 39                 968.163555555555263                 947.821903547623037                 786.488888888889619                2507.599999999997635               48408.177777777760639
 40                 812.858666666666295                 883.012680951515790                 388.977777777778272                2507.599999999997635               40642.933333333312476
 41                 688.052444444444404                 726.936543548249006                 362.000000000000455                2507.599999999997635               34402.622222222220444
 42                 790.136888888889075                 786.821269420221029                 388.977777777778272                2507.599999999997635               39506.844444444453984
 43                 695.048888888888769                 770.217121788586951                 362.000000000000455                2507.599999999997635               34752.444444444437977
 44                 509.759999999999991                 633.029956937462885                 362.000000000000455                2507.599999999997635               25488.000000000000000
 45                 957.553777777777441                 906.137708269253494                 803.600000000000705                2507.599999999997635               47877.688888888871588
 46                1137.064888888888390                1002.470421849570926                 803.600000000000705                2507.599999999997635               56853.244444444419059
 47                 983.580444444444197                 966.780385859050853                 362.000000000000455                2507.599999999997635               49179.022222222207347
 48                 782.663111111110879                 876.698625699507716                 362.000000000000455                2507.599999999997635               39133.155555555546016
 49                 925.174222222221715                 957.179881566806216                 362.000000000000455                2507.599999999997635               46258.711111111086211
