# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 978.970666666667512                1679.196316345546620                  74.666666666666671                6529.200000000008913               48948.533333333376504
  1                1327.466666666666924                1732.414732588270226                 588.266666666666538                6158.399999999993270               66373.333333333343035
  2                1762.933333333334076                1890.065835514144965                 872.000000000000341                6158.399999999993270               88146.666666666700621
  3                3122.762666666667883                2314.728563694672630                3519.466666666671244                8193.600000000002183              156138.133333333389601
  4                3525.866666666668607                2524.994581433131316                3748.266666666670972               10374.399999999990541              176293.333333333430346
  5                4081.826666666673191                1984.347664386351880                3813.333333333339397                8419.200000000009823              204091.333333333663177
  6                2666.509333333336599                2117.403486611114204                2182.133333333335486                7398.800000000005639              133325.466666666819947
  7                3794.485333333338076                2556.464052711699424                3874.133333333339124                9555.200000000002547              189724.266666666895617
  8                4182.480000000003201                1996.179477835930584                4032.266666666673245               12997.599999999987631              209124.000000000145519
  9                4846.368000000006759                2589.716793928208517                5780.800000000009277                7964.000000000010914              242318.400000000343425
 10                2899.699555555558163                1766.744518325132958                2654.755555555559567               10986.400000000006912              144984.977777777909068
 11                3460.064888888891801                2800.443384414404136                3467.755555555560932               13968.799999999979264              173003.244444444600958
 12                3730.080000000004475                2185.009456577553465                3651.200000000005275               16329.600000000009459              186504.000000000232831
 13                6321.493333333339251                2296.750282986813545                6592.000000000009095               10777.599999999989450              316074.666666666977108
 14                3480.981333333337261                1976.990264463862559                2654.933333333336122                9373.600000000009459              174049.066666666854871
 15                1709.268266666667387                1400.695600273939135                1646.360000000002628                6248.306666666658202               85463.413333333373885
 16                5911.104000000005726                1467.648227944931932                6392.057142857152030                7782.457142857148938              295555.200000000302680
 17                2033.945111111112283                1306.055566288863020                1866.466666666669198                6617.600000000004911              101697.255555555617320
 18                2603.066060606063729                1892.617265000212001                2595.987878787883346               12867.937373737377129              130153.303030303184642
 19                2982.058606060608781                1043.057705804281795                2995.030303030307550                5425.118181818185803              149102.930303030443611
 20                1125.673422222221916                1243.712764272327377                 638.166666666667084                5029.226666666659185               56283.671111111099890
 21                2927.889333333336253                1636.869037392764085                2990.933333333337032                9871.600000000005821              146394.466666666819947
 22                2757.730285714288584                2076.864594420766934                1843.824761904762454                7014.582857142853754              137886.514285714423750
 23                3720.987555555557265                1852.787829408202015                3730.533333333339215                6544.399999999984175              186049.377777777874144
 24                5139.111111111112223                2364.887354924429474                5769.200000000006185                9593.599999999980355              256955.555555555620231
 25                6458.129777777779054                2370.516782127438546                6562.400000000006912                9671.644444444422334              322906.488888888969086
 26                 932.088507936508563                 461.351712470651933                 746.081481481481774                1883.057142857144299               46604.425396825427015
 27                1142.769333333333407                 930.640157827574058                 780.703333333333376                3169.639999999994870               57138.466666666674428
 28                1530.023757575758736                 890.261182719785552                1347.032727272727698                4620.990303030306677               76501.187878787939553
 29                2710.250793650797732                1118.797753602843841                2804.219047619051707                6527.085714285720314              135512.539682539878413
 30                4081.355809523812695                1966.460500510053635                4448.095238095244895                6683.657142857138751              204067.790476190624759
 31                 863.974637037037269                 764.069879642476053                 371.567407407407643                2413.226666666665551               43198.731851851865940
 32                3307.910619883037725                1733.717408738845506                3196.628070175443099               10915.417543859659418              165395.530994151893537
 33                1937.257333333333463                 858.843685739792022                1999.400000000000091                4555.699999999999818               96862.866666666668607
 34                3342.499555555556071                1576.304995465680577                4068.266666666672791                5128.685714285711583              167124.977777777792653
 35                1068.441949317738363                 736.509460422482334                 728.711111111109631                3503.354385964902576               53422.097465886916325
 36                1011.645435897436528                 672.418248931183598                 658.627692307693337                2887.150769230762307               50582.271794871827296
 37                2809.212848484849019                1625.637333570577766                2541.054545454549043                5050.763636363634760              140460.642424242454581
 38                 946.986432234432755                 507.009899424938794                 701.934065934065984                1683.279120879120228               47349.321611721636145
 39                2703.882871794872699                 931.904460616048254                2852.035164835167961                4406.339926739923612              135194.143589743645862
 40                1427.827153623189133                 685.158315267306307                1584.250434782610910                2700.978550724638353               71391.357681159453932
 41                 996.704948148148219                 823.538851652622725                1030.773333333333085                2548.853333333331193               49835.247407407412538
 42                1220.658666666666022                 829.525893414293023                1011.643956043957132                2958.351648351650965               61032.933333333305200
 43                 893.574966507177578                 420.344523405095401                 790.177990430622572                1691.355023923446424               44678.748325358879811
 44                1501.621709090909008                 918.344262255874924                1142.152727272728725                3157.701212121208300               75081.085454545449466
 45                 840.703999999999837                 572.457441817940321                 645.759999999999991                1655.999999999998863               42035.199999999989814
 46                1064.106818181817744                 612.786066259779545                1322.031818181815879                2302.168181818183257               53205.340909090889909
 47                1079.156581196581328                 589.944389157412729                1339.430769230769783                3194.020512820514796               53957.829059829062317
 48                1743.002974705581664                 867.494289600691445                1390.344700460830154                2978.068202764973648               87150.148735279086395
 49                1208.553688888888473                 854.779957821891912                 989.106666666667707                2455.239999999997963               60427.684444444421388
