# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 122.371333333333439                 209.899539543193328                   9.333333333333334                 816.150000000001114                6118.566666666672063
  1                 165.933333333333366                 216.551841573533778                  73.533333333333317                 769.799999999999159                8296.666666666667879
  2                 220.366666666666760                 236.258229439268121                 109.000000000000043                 769.799999999999159               11018.333333333337578
  3                 390.345333333333485                 289.341070461834079                 439.933333333333906                1024.200000000000273               19517.266666666673700
  4                 440.733333333333576                 315.624322679141414                 468.533333333333871                1296.799999999998818               22036.666666666678793
  5                 510.228333333334149                 248.043458048293985                 476.666666666667425                1052.400000000001228               25511.416666666707897
  6                 363.636666666666997                 288.279284201970086                 293.600000000000307                1040.900000000001000               18181.833333333350311
  7                 474.310666666667260                 319.558006588962428                 484.266666666667390                1194.400000000000318               23715.533333333361952
  8                 621.268000000000598                 405.976855714706574                 531.466666666667493                2790.199999999996180               31063.400000000030559
  9                 605.796000000000845                 323.714599241026065                 722.600000000001160                 995.500000000001364               30289.800000000042928
 10                 618.824666666667213                 362.527155446319853                 622.150000000000887                2347.800000000001546               30941.233333333362680
 11                 663.696000000000367                 652.991225392466049                 539.400000000000773                3364.699999999994361               33184.800000000017462
 12                 932.520000000001119                 546.252364144388366                 912.800000000001319                4082.400000000002365               46626.000000000058208
 13                 790.186666666667406                 287.093785373351693                 824.000000000001137                1347.199999999998681               39509.333333333372138
 14                 650.338666666667450                 306.538628297026094                 594.866666666667356                1854.200000000001637               32516.933333333370683
 15                 871.755333333333397                 885.054572582578999                 624.550000000000750                3540.049999999994270               43587.766666666670062
 16                 840.472000000000548                 257.620985050174284                 864.900000000001000                1332.349999999999682               42023.600000000027649
 17                 862.018333333333885                 565.807095535513099                 790.700000000001182                2628.400000000001455               43100.916666666693345
 18                 852.731000000000790                 564.232446426215006                 820.000000000001137                3235.300000000001091               42636.550000000039290
 19                 901.682666666667615                 437.205172874755078                 816.233333333334485                2069.816666666667061               45084.133333333382325
 20                 941.105333333333647                 919.419739596906084                 598.133333333333667                3838.299999999995634               47055.266666666684614
 21                 909.547000000000935                 625.208380503741978                 924.400000000001455                3460.550000000002001               45477.350000000049477
 22                 803.180000000000746                 517.543564553856186                 658.616666666666561                2112.900000000002365               40159.000000000036380
 23                 952.270666666666784                 865.318710961200850                 573.333333333334167                2893.199999999999363               47613.533333333340124
 24                 953.860000000000014                 698.095915178485825                 837.899999999999750                2782.799999999996544               47693.000000000000000
 25                1038.355999999999995                 310.236581440680027                1013.600000000001387                1933.500000000000455               51917.800000000002910
 26                1224.966000000000577                 573.242184953852302                 979.350000000001501                2367.050000000000182               61248.300000000024738
 27                1061.453333333333376                 907.817946782282434                 668.583333333333712                2989.699999999995271               53072.666666666671517
 28                1436.623333333334585                 937.294040481546858                1090.800000000001319                4007.683333333337487               71831.166666666729725
 29                 993.383333333334349                 420.099284587716568                 945.350000000001614                2202.600000000002183               49669.166666666715173
 30                 880.178333333333740                 414.728197796125414                 718.750000000000796                1863.250000000001592               44008.916666666686069
 31                1259.409333333334189                 981.516948221589246                 645.133333333333667                2941.199999999999363               62970.466666666710807
 32                1323.030999999999494                 759.971875685832629                1131.733333333334940                3091.466666666669425               66151.549999999973807
 33                1088.689333333333479                 479.732952945466934                1114.249999999999318                2598.250000000000909               54434.466666666674428
 34                 966.854333333334125                 347.242237891168259                 907.200000000000841                1429.900000000000318               48342.716666666703532
 35                1614.693333333332475                1165.035761244166224                1092.800000000001091                3972.466666666656238               80734.666666666627862
 36                1458.663333333334094                1004.340380387933465                 958.400000000001342                3811.149999999991451               72933.166666666700621
 37                1468.714333333333798                1114.114074560340896                 748.833333333334394                3147.050000000001091               73435.716666666688980
 38                1595.430666666666184                 876.384267743575833                1177.200000000000500                2904.999999999998636               79771.533333333311020
 39                1324.547666666666828                 591.335383978123787                1246.799999999999272                3358.249999999992724               66227.383333333345945
 40                1387.392000000000962                1039.293071944365693                 800.000000000001137                3601.366666666667243               69369.600000000049477
 41                1168.533333333333530                 980.443106083502244                1210.799999999999955                3104.999999999996817               58426.666666666671517
 42                1260.670333333333701                 906.224802667576341                1062.350000000001501                2782.799999999996544               63033.516666666684614
 43                1828.283000000001039                 691.449590855569227                2210.050000000001546                2576.900000000001455               91414.150000000052387
 44                1380.342666666667810                 711.951512863372841                1869.900000000000091                2459.533333333333758               69017.133333333389601
 45                1576.320000000000391                1073.357703408637462                1210.799999999999955                3104.999999999996817               78816.000000000014552
 46                1847.218333333333703                1051.658986027155379                2613.250000000002274                3292.800000000002001               92360.916666666686069
 47                1591.644000000001142                 714.165595687724249                1841.250000000001819                2876.700000000001637               79582.200000000055297
 48                1338.589999999999918                 744.303814379585788                 801.099999999999113                2359.933333333333849               66929.500000000000000
 49                1495.243999999999915                1015.822329980110908                2080.000000000002274                2682.599999999997181               74762.199999999997090
