# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                2888.675999999999931                4862.747354264783098                 476.199999999999932               18812.099999999998545              144433.799999999988358
  1                1138.655272727271495                2510.835670611015757                 279.333333333333371               16973.127272727240779               56932.763636363575642
  2                4798.583999999995285                6071.111585768704572                 945.866666666666674               21208.399999999917782              239929.199999999778811
  3                3952.096999999998843                2594.731505586931689                4468.200000000004366                8385.499999999970896              197604.849999999947613
  4                1447.604740740739544                1313.679136845346193                 996.444444444444343                4415.111111111102218               72380.237037036975380
  5                3571.433142857138137                2007.244567797892614                3824.076190476179363                6031.200000000001637              178571.657142856915016
  6                9393.717333333315764                5558.197205770292385                8122.266666666659148               17489.999999999941792              469685.866666665824596
  7                1942.170133333332160                1008.737320715787291                1902.133333333334804                3979.413333333325227               97108.506666666609817
  8                3937.496266666663360                1149.420426439656922                4056.240000000001601                5660.186666666657402              196874.813333333178889
  9                9872.811999999972613                5676.155186316231266               14241.999999999956344               22245.999999999967258              493640.599999998637941
 10                1529.101619047617987                1594.740061278932217                1202.428571428571558               12108.449999999971624               76455.080952380900271
 11                 903.468056512624116                 463.169770751678641                1094.991698113207804                1363.210631665299161               45173.402825631208543
 12               17649.903999999940424                9282.588925999814819               22650.133333333258634               26234.666666666562378              882495.199999997043051
 13                2198.836148148149277                1198.305627445429081                1905.777777777778056                5820.799999999995634              109941.807407407468418
 14                1768.469914000688959                 545.196873485199376                2004.554798761610755                2895.884279325760417               88423.495700034443871
 15               14203.864387878746129                5483.129376993632832               16762.041212121159333               19160.264242424171243              710193.219393937266432
 16               12672.661333333300718                3994.031369238393836               14126.933333333290648               15975.466666666608944              633633.066666665021330
 17                3879.602285714287063                1602.370195937075323                3667.085714285714857                8435.028571428560099              193980.114285714342259
 18                1525.855526662898455                 616.282882739330717                1520.837987563596016                3092.648275862064111               76292.776333144924138
 19                1738.665497536946987                 613.640215741900874                1802.181609195403553                3821.592118226593811               86933.274876847353880
 20                3490.096054421766894                1416.446864115153176                3664.408163265306939                7779.493877551011792              174504.802721088344697
 21               10158.735030303005260                3720.636873889892740               12318.656969696949091               12708.261818181792478              507936.751515150303021
 22               12601.759127272700425                3806.279670819831608               12883.290909090872447               32298.425454545384127              630087.956363635021262
 23                9061.525333333322124                2057.896662242614639                8520.533333333329210               15580.799999999991996              453076.266666666138917
 24               13955.791999999990367                2766.321095097317993               14547.999999999981810               17761.599999999969441              697789.599999999511056
 25               11949.672765619337952                 516.892499970091308               11806.065727699511626               13128.254821235081181              597483.638280966901220
 26               11322.582095238080001                4140.702905213217491               10773.676190476182455               22943.314285714208381              566129.104761903989129
 27                9953.791999999988548                3316.629844824470183                8520.533333333329210               15580.799999999991996              497689.599999999394640
 28               14248.223999999985608                2994.498337262589303               14547.999999999981810               17761.599999999969441              712411.199999999254942
 29               11851.132380952360108                1913.318363118403795               11830.983809523790114               14360.751428571402357              592556.619047618005425
 30               13235.680969696950342                4239.318934923497181               10750.084848484841132               21614.399999999928696              661784.048484847531654
 31               10392.127999999982421                4209.699195668961693                8520.533333333329210               15580.799999999991996              519606.399999999150168
 32               14381.551999999983309                3193.413259153973740               14547.999999999981810               17761.599999999969441              719077.599999999161810
 33               11150.091479744120079                2283.135730853279711               11800.242928216041037               12084.983795309148263              557504.573987205978483
 34               11863.795809523786374                6120.357666814194999               10730.425396825388816               20506.971428571356228              593189.790476189344190
 35                9300.437333333318747                5105.718897953274791                8520.533333333329210               15580.799999999991996              465021.866666665941011
 36               12501.519999999978609                6409.203357395076637               14547.999999999981810               17761.599999999969441              625075.999999998952262
 37               10393.326853801145262                3505.855182370049988               10786.717894736817470               12540.359999999978754              519666.342690057237633
 38               15270.451282051250018                5016.104363657513204               12459.630769230770966               20272.707692307620164              763522.564102562493645
 39               13705.770666666643592                2946.471182057463011               13766.399999999954161               15580.799999999991996              685288.533333332161419
 40               13811.290666666640391                4230.020147548752902               13824.799999999977445               17761.599999999969441              690564.533333332045004
 41               10725.389347008529512                2709.260060342780889               11833.255384615364164               11833.255384615364164              536269.467350426479243
 42               15361.447783783743944                5905.577581599129189               19980.194594594522641               19980.194594594522641              768072.389189187204465
 43               13613.311999999968975                3173.009374540617955               13766.399999999954161               15580.799999999991996              680665.599999998463318
 44               13782.693333333305418                4684.491693634780859               13824.799999999977445               17761.599999999969441              689134.666666665230878
 45               10793.252654731437360                2729.897943922803734               11724.627621483356052               11724.627621483356052              539662.632736571831629
 46               18067.983597484220809                3618.132058168964704               19771.471698113135062               19771.471698113135062              903399.179874211084098
 47               13608.234666666619887                1656.860211269224237               13766.399999999954161               15580.799999999991996              680411.733333330950700
 48               13860.669333333300528                2173.388274395938879               13824.799999999977445               17761.599999999969441              693033.466666665044613
 49               11684.737396653086762                 426.548100868784502               11558.955223880577250               13131.232383536826092              584236.869832654367201
