# score

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 589.548333333333176                1027.791807172866356                  99.899999999999991                4774.000000000000909               29477.416666666660603
  1                 576.587333333332936                 883.099621305923165                 195.766666666666652                4710.799999999992906               28829.366666666646779
  2                 599.822999999999411                 758.888948221088071                 118.233333333333334                2651.049999999989723               29991.149999999972351
  3                1762.263999999998987                1547.372012138142964                1355.900000000000546                4542.599999999999454               88113.199999999953434
  4                1404.382666666664818                1562.663682750846874                 236.000000000000000                4735.999999999990905               70219.133333333244082
  5                1635.163999999999305                1927.355779234453166                 659.649999999997704                5691.300000000000182               81758.199999999967986
  6                1174.214666666664471                 694.774650721286548                1015.283333333332394                2186.249999999992724               58710.733333333228074
  7                2436.726666666665551                1205.414577663818818                2776.666666666666970                4735.999999999990905              121836.333333333270275
  8                3337.472333333332244                2233.479415184126537                2605.600000000000819                5691.300000000000182              166873.616666666610399
  9                1492.350999999996930                 844.499030500131767                1967.299999999994498                5189.299999999991087               74617.549999999842839
 10                4549.034333333333052                1284.344326994258836                4920.499999999998181                5818.350000000000364              227451.716666666645324
 11                5041.753333333334012                2444.990517700312921                6210.799999999997453                7228.199999999998909              252087.666666666686069
 12                2206.237999999992553                1160.323615749976852                2831.266666666657329                3279.333333333320297              110311.899999999630381
 13                2186.354666666666617                1908.934596560312684                1352.666666666665151                8261.599999999985812              109317.733333333322662
 14                4708.904999999997926                1957.290282863445555                4984.199999999998909                6404.900000000000546              235445.249999999883585
 15                2583.667666666660352                 819.924505321540892                3036.033333333326482                3036.033333333326482              129183.383333333025803
 16                1584.082666666662590                 499.253921154799229                1765.866666666661331                1996.933333333326118               79204.133333333127666
 17                2090.445333333330836                1426.889575802479612                1554.099999999998317                5646.349999999999454              104522.266666666546371
 18                3291.858666666665613                1005.253705015361675                3691.699999999999818                4395.333333333333940              164592.933333333290648
 19                2709.668999999999869                 918.127755180860049                3154.066666666667061                3675.433333333333394              135483.449999999982538
 20                3126.998333333332994                1496.652493990988432                3578.500000000000455                4487.700000000000728              156349.916666666656965
 21                3652.135333333328617                1119.094354410643746                4362.166666666663332                4362.166666666663332              182606.766666666429956
 22                2213.840999999993983                 791.210423810742668                2292.149999999995089                7041.899999999985994              110692.049999999697320
 23                1132.690666666665265                 257.237082780326830                1065.066666666666151                1947.599999999999000               56634.533333333267365
 24                1744.473999999998796                 345.790136887164749                1818.499999999997726                2220.199999999996180               87223.699999999938882
 25                3784.924666666660869                 976.903801696631263                3417.566666666663423                6192.599999999992178              189246.233333333046176
 26                1677.815333333333001                1197.336077617675301                1395.366666666665651                5608.799999999986539               83890.766666666648234
 27                1244.223999999998568                 414.578730603058773                1065.066666666666151                1947.599999999999000               62211.199999999924330
 28                1781.027999999998201                 374.312292157823663                1818.499999999997726                2220.199999999996180               89051.399999999906868
 29                3686.922666666661371                1119.452886933610898                3417.566666666663423                6192.599999999992178              184346.133333333069459
 30                2278.721333333332041                1667.176319579634537                1395.366666666665651                5608.799999999986539              113936.066666666607489
 31                1299.015999999997803                 526.212399458620212                1065.066666666666151                1947.599999999999000               64950.799999999893771
 32                1797.693999999997914                 399.176657394246718                1818.499999999997726                2220.199999999996180               89884.699999999895226
 33                4135.987999999994827                1665.457746403670399                3417.566666666663423                6192.599999999992178              206799.399999999732245
 34                2249.463999999998123                1948.489923594275297                1395.366666666665651                5608.799999999986539              112473.199999999895226
 35                1162.554666666664843                 638.214862244159349                1065.066666666666151                1947.599999999999000               58127.733333333242626
 36                1562.689999999997326                 801.150419674384580                1818.499999999997726                2220.199999999996180               78134.499999999869033
 37                3669.471999999996115                1874.593581415090966                2888.899999999996908                6192.599999999992178              183473.599999999802094
 38                3294.516666666661422                2073.749936014994091                1621.300000000000182                5608.799999999986539              164725.833333333081100
 39                1713.221333333330449                 368.308897757182876                1720.799999999994270                1947.599999999999000               85661.066666666520177
 40                1726.411333333330049                 528.752518443594113                1728.099999999997181                2220.199999999996180               86320.566666666505625
 41                4514.342666666662808                1932.406673762478704                6192.599999999992178                6192.599999999992178              225717.133333333156770
 42                3624.599999999992633                2187.946669764440230                5608.799999999986539                5608.799999999986539              181229.999999999621650
 43                1701.663999999996122                 396.626171817577244                1720.799999999994270                1947.599999999999000               85083.199999999807915
 44                1722.836666666663177                 585.561461704347607                1728.099999999997181                2220.199999999996180               86141.833333333153860
 45                5030.491999999997461                1881.794575700543874                6192.599999999992178                6192.599999999992178              251524.599999999860302
 46                4718.511333333322909                1689.789859250875679                5608.799999999986539                5608.799999999986539              235925.566666666127276
 47                1701.029333333327486                 207.107526408653030                1720.799999999994270                1947.599999999999000               85051.466666666368837
 48                1732.583666666662566                 271.673534299492360                1728.099999999997181                2220.199999999996180               86629.183333333130577
 49                5950.975999999995111                 819.386849921331077                6192.599999999992178                6192.599999999992178              297548.799999999755528
