# Fitness when evaluated against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 187.274666666666747                 276.196090290133782                 162.266666666666652                1430.266666666668243                9363.733333333337214
  1                 226.794666666666700                 393.037183842275397                 184.000000000000000                2564.533333333331939               11339.733333333335395
  2                 325.762666666666746                 475.408185814627871                 191.333333333333314                2564.533333333331939               16288.133333333336850
  3                 462.973333333333528                 645.011296094021191                 192.399999999999977                2565.600000000004002               23148.666666666675155
  4                 535.936000000000149                 566.408947349292475                 375.866666666666788                2385.199999999998909               26796.800000000010186
  5                 550.037333333333777                 536.903082693909141                 375.866666666666788                2327.866666666667697               27501.866666666686797
  6                 521.141333333333591                 560.415853949745724                 375.866666666666788                2327.866666666667697               26057.066666666680248
  7                 759.717333333333954                 727.271566526104380                 501.066666666667061                3111.200000000003456               37985.866666666697711
  8                 969.349333333334243                 750.519194343045569                 816.800000000000637                3111.200000000003456               48467.466666666710807
  9                 848.597333333333950                 660.374568587656768                 733.866666666667015                2327.866666666667697               42429.866666666697711
 10                 917.336000000000695                 748.588762935224509                 677.733333333333803                2924.000000000003638               45866.800000000032014
 11                 821.240000000000691                 630.254986282008304                 633.600000000000364                2924.000000000003638               41062.000000000036380
 12                 826.682666666667160                 593.086279435894426                 633.600000000000364                2924.000000000003638               41334.133333333360497
 13                1114.106666666667479                 842.897006915238649                 798.266666666667334                2934.000000000002728               55705.333333333372138
 14                1017.680000000001201                 760.748493174102691                 776.666666666667197                2934.000000000002728               50884.000000000058208
 15                1075.805333333334374                 853.713262176476746                 896.533333333334099                2934.000000000002728               53790.266666666713718
 16                1395.445333333334474                 879.162917572038509                1181.866666666668380                2934.000000000002728               69772.266666666720994
 17                1466.162666666667747                 946.094882830118081                1181.866666666668380                2934.000000000002728               73308.133333333389601
 18                1476.720000000001164                 980.820960805567893                1181.866666666668380                2934.000000000002728               73836.000000000058208
 19                1428.978666666668460                 951.538268460544032                1143.600000000001501                2934.000000000002728               71448.933333333421615
 20                1472.800000000001091                 978.192575087113141                1302.000000000001819                2934.000000000002728               73640.000000000058208
 21                1445.037333333335027                 954.654188853279493                1344.666666666668561                2934.000000000002728               72251.866666666755918
 22                1188.584000000001197                 882.480906894245777                1083.066666666667970                2934.000000000002728               59429.200000000062573
 23                1357.264000000001488                 913.892356506924443                1368.266666666668698                2934.000000000002728               67863.200000000069849
 24                1397.389333333334889                 966.039485400514423                1368.266666666668698                2934.000000000002728               69869.466666666747187
 25                1584.994666666668309                 974.803900675185901                1368.266666666668698                2934.000000000002728               79249.733333333409973
 26                1812.418666666668514                1022.374277892397913                2124.800000000002910                2934.000000000002728               90620.933333333421615
 27                2066.898666666668305                 982.721501431612182                2457.600000000003547                2934.000000000002728              103344.933333333407063
 28                2125.264000000001033                1018.401762847388227                2934.000000000002728                2934.000000000002728              106263.200000000055297
 29                2120.861333333334187                 976.519196405956450                2934.000000000002728                2934.000000000002728              106043.066666666709352
 30                2303.629333333334216                 959.147284730673277                2934.000000000002728                2934.000000000002728              115181.466666666718083
 31                2509.954666666667435                 826.705054854915147                2934.000000000002728                2934.000000000002728              125497.733333333366318
 32                2592.685333333334256                 788.349445364878875                2934.000000000002728                2934.000000000002728              129634.266666666706442
 33                2621.461333333334096                 783.356445598327923                2934.000000000002728                2934.000000000002728              131073.066666666709352
 34                2659.488000000001648                 744.839864482740836                2934.000000000002728                2934.000000000002728              132974.400000000081491
 35                2738.160000000001219                 667.241725313998586                2934.000000000002728                2934.000000000002728              136908.000000000058208
 36                2791.312000000001262                 567.181872996661355                2934.000000000002728                2934.000000000002728              139565.600000000064028
 37                2730.506666666668025                 692.088700801984487                2934.000000000002728                2934.000000000002728              136525.333333333401242
 38                2785.920000000000982                 587.596325833759579                2934.000000000002728                2934.000000000002728              139296.000000000058208
 39                2658.165333333334274                 751.193045789607936                2934.000000000002728                2934.000000000002728              132908.266666666720994
 40                2469.605333333334784                 936.073255617672430                2934.000000000002728                2934.000000000002728              123480.266666666735546
 41                2592.154666666667708                 789.430555886400839                2934.000000000002728                2934.000000000002728              129607.733333333395422
 42                2714.016000000000986                 665.586272102022576                2934.000000000002728                2934.000000000002728              135700.800000000046566
 43                2653.130666666668276                 766.962880858723565                2934.000000000002728                2934.000000000002728              132656.533333333412884
 44                2547.354666666667526                 892.857081154152752                2934.000000000002728                2934.000000000002728              127367.733333333380870
 45                2669.450666666667530                 721.615951358554526                2934.000000000002728                2934.000000000002728              133472.533333333383780
 46                2536.304000000000997                 854.911946099714783                2934.000000000002728                2934.000000000002728              126815.200000000055297
 47                2740.842666666667355                 662.474734613916326                2934.000000000002728                2934.000000000002728              137042.133333333360497
 48                2889.450666666667530                 311.845333333333087                2934.000000000002728                2934.000000000002728              144472.533333333383780
 49                2934.000000000001364                   0.000000000001364                2934.000000000002728                2934.000000000002728              146700.000000000058208
