# Score when playing against baseline solutions

  gen                   avg                                 stdDev                              median                              max                                 total

  0                  62.424888888888908                  92.065363430044584                  54.088888888888881                 476.755555555556100                3121.244444444445435
  1                  75.598222222222233                 131.012394614091789                  61.333333333333336                 854.844444444443980                3779.911111111111950
  2                 108.587555555555568                 158.469395271542595                  63.777777777777771                 854.844444444443980                5429.377777777778647
  3                 154.324444444444481                 215.003765364673711                  64.133333333333326                 855.200000000001296                7716.222222222223536
  4                 178.645333333333411                 188.802982449764158                 125.288888888888934                 795.066666666666265                8932.266666666670062
  5                 183.345777777777926                 178.967694231303057                 125.288888888888934                 775.955555555555861                9167.288888888895599
  6                 173.713777777777835                 186.805284649915194                 125.288888888888934                 775.955555555555861                8685.688888888891597
  7                 253.239111111111242                 242.423855508701450                 167.022222222222354                1037.066666666667743               12661.955555555561659
  8                 323.116444444444710                 250.173064781015199                 272.266666666666879                1037.066666666667743               16155.822222222235723
  9                 282.865777777778078                 220.124856195885599                 244.622222222222348                 775.955555555555861               14143.288888888902875
 10                 305.778666666666879                 249.529587645074798                 225.911111111111268                 974.666666666667879               15288.933333333343398
 11                 273.746666666666897                 210.084995427336082                 211.200000000000131                 974.666666666667879               13687.333333333344854
 12                 275.560888888889167                 197.695426478631560                 211.200000000000131                 974.666666666667879               13778.044444444458350
 13                 371.368888888889217                 280.965668971746254                 266.088888888889130                 978.000000000000909               18568.444444444459805
 14                 339.226666666667029                 253.582831058034287                 258.888888888889085                 978.000000000000909               16961.333333333350311
 15                 358.601777777778125                 284.571087392158859                 298.844444444444719                 978.000000000000909               17930.088888888905785
 16                 465.148444444445204                 293.054305857346208                 393.955555555556145                 978.000000000000909               23257.422222222259734
 17                 488.720888888889363                 315.364960943372694                 393.955555555556145                 978.000000000000909               24436.044444444469264
 18                 492.240000000000350                 326.940320268522612                 393.955555555556145                 978.000000000000909               24612.000000000018190
 19                 476.326222222222668                 317.179422820181458                 381.200000000000500                 978.000000000000909               23816.311111111132050
 20                 490.933333333333792                 326.064191695704380                 434.000000000000625                 978.000000000000909               24546.666666666689707
 21                 481.679111111111638                 318.218062951093202                 448.222222222222854                 978.000000000000909               24083.955555555581668
 22                 396.194666666667104                 294.160302298081945                 361.022222222222638                 978.000000000000909               19809.733333333355404
 23                 452.421333333333621                 304.630785502308129                 456.088888888889585                 978.000000000000909               22621.066666666680248
 24                 465.796444444445058                 322.013161800171417                 456.088888888889585                 978.000000000000909               23289.822222222253913
 25                 528.331555555556065                 324.934633558395319                 456.088888888889585                 978.000000000000909               26416.577777777805750
 26                 604.139555555556058                 340.791425964132657                 708.266666666667675                 978.000000000000909               30206.977777777803567
 27                 688.966222222222768                 327.573833810537337                 819.200000000001182                 978.000000000000909               34448.311111111135688
 28                 708.421333333333791                 339.467254282462761                 978.000000000000909                 978.000000000000909               35421.066666666687524
 29                 706.953777777778214                 325.506398801985426                 978.000000000000909                 978.000000000000909               35347.688888888907968
 30                 767.876444444444815                 319.715761576891055                 978.000000000000909                 978.000000000000909               38393.822222222239361
 31                 836.651555555555660                 275.568351618305030                 978.000000000000909                 978.000000000000909               41832.577777777783922
 32                 864.228444444444563                 262.783148454959701                 978.000000000000909                 978.000000000000909               43211.422222222230630
 33                 873.820444444444547                 261.118815199442508                 978.000000000000909                 978.000000000000909               43691.022222222229175
 34                 886.496000000000208                 248.279954827580184                 978.000000000000909                 978.000000000000909               44324.800000000010186
 35                 912.720000000000141                 222.413908437999339                 978.000000000000909                 978.000000000000909               45636.000000000007276
 36                 930.437333333333527                 189.060624332220414                 978.000000000000909                 978.000000000000909               46521.866666666675883
 37                 910.168888888889228                 230.696233600661458                 978.000000000000909                 978.000000000000909               45508.444444444459805
 38                 928.640000000000100                 195.865441944586649                 978.000000000000909                 978.000000000000909               46432.000000000007276
 39                 886.055111111111160                 250.397681929869236                 978.000000000000909                 978.000000000000909               44302.755555555559113
 40                 823.201777777777806                 312.024418539224257                 978.000000000000909                 978.000000000000909               41160.088888888887595
 41                 864.051555555555638                 263.143518628800450                 978.000000000000909                 978.000000000000909               43202.577777777783922
 42                 904.672000000000367                 221.862090700674230                 978.000000000000909                 978.000000000000909               45233.600000000020373
 43                 884.376888888889084                 255.654293619574361                 978.000000000000909                 978.000000000000909               44218.844444444453984
 44                 849.118222222222585                 297.619027051384023                 978.000000000000909                 978.000000000000909               42455.911111111126957
 45                 889.816888888889025                 240.538650452851613                 978.000000000000909                 978.000000000000909               44490.844444444453984
 46                 845.434666666666885                 284.970648699904984                 978.000000000000909                 978.000000000000909               42271.733333333344490
 47                 913.614222222222452                 220.824911537971957                 978.000000000000909                 978.000000000000909               45680.711111111122591
 48                 963.150222222222396                 103.948444444444334                 978.000000000000909                 978.000000000000909               48157.511111111118225
 49                 978.000000000000114                   0.000000000000796                 978.000000000000909                 978.000000000000909               48900.000000000007276
