# fitness

  gen                   avg                                 stdDev                              median                              max                                 total

  0                 794.912000000000148                1762.525999754771419                 503.000000000000057               10546.199999999997090               39745.600000000005821
  1                 850.933333333333735                1437.800248713291467                 500.266666666666708                6026.666666666662422               42546.666666666686069
  2                1234.570666666666739                1828.817073710521299                 520.000000000000000                6026.666666666662422               61728.533333333340124
  3                1692.821333333333996                2258.037154834162266                 510.399999999999977                7366.400000000010550               84641.066666666694800
  4                2047.189333333335298                1675.315421650371945                2024.000000000000000                5091.733333333336304              102359.466666666761739
  5                1417.536000000001195                1039.408814617233702                1769.599999999999909                5628.000000000009095               70876.800000000061118
  6                2356.864000000001852                1824.679716283139442                2436.266666666668243                5743.466666666666242              117843.200000000098953
  7                3414.437333333336937                2612.841985923798347                3972.266666666671881                9166.133333333318660              170721.866666666843230
  8                3363.338666666670633                1761.061807576581259                3832.000000000005002                8993.600000000004002              168166.933333333523478
  9                3237.482666666669502                1423.033511875874183                3748.266666666671881                5453.333333333332121              161874.133333333476912
 10                1802.114666666668427                1372.344125294139531                1311.866666666668152                6768.000000000006366               90105.733333333424525
 11                3596.394666666672492                1483.403593592342077                3577.066666666671154                7443.200000000012551              179819.733333333628252
 12                4694.325333333338676                1654.168955317443078                4795.466666666673518                8720.800000000004729              234716.266666666924721
 13                3216.424000000002707                1800.669339391327867                2585.466666666669880                9274.800000000008367              160821.200000000128057
 14                4883.264000000005581                2015.186971549788723                5008.533333333341034                8773.600000000007640              244163.200000000273576
 15                4540.448000000003049                2247.371704014964052                3913.600000000005821                8534.400000000005093              227022.400000000139698
 16                5621.418666666669196                2545.060564642023564                5097.333333333339397               10449.599999999983993              281070.933333333465271
 17                5656.352000000002590                3193.208730625106909                4526.933333333339760               11414.399999999983265              282817.600000000151340
 18                7606.826666666665915                3746.771814989526774                7401.600000000012187               13334.399999999965075              380341.333333333313931
 19                7644.650666666665529                3308.578544129981310                7212.800000000011096               13334.399999999965075              382232.533333333267365
 20                7932.309333333332688                3622.964574519588496                7401.600000000012187               13334.399999999965075              396615.466666666616220
 21                8069.311999999998079                3466.983123951863945                7884.800000000012005               13334.399999999965075              403465.599999999918509
 22                7059.712000000004082                3320.599773974970958                7264.000000000012733               13334.399999999965075              352985.600000000209548
 23                8012.586666666670681                2796.349889027946119                7673.600000000012187               13334.399999999965075              400629.333333333546761
 24                7781.226666666667370                3495.269435184254689                7673.600000000012187               13334.399999999965075              389061.333333333372138
 25                8239.231999999999971                3325.878790929351453                7673.600000000012187               13334.399999999965075              411961.600000000034925
 26                8950.250666666661346                3579.610410348758251                7673.600000000012187               13334.399999999965075              447512.533333333034534
 27                9822.933333333319752                3691.063063105544188                9168.000000000005457               13334.399999999965075              491146.666666665987577
 28                5234.890666666659854                1741.940874810358309                6667.199999999982538                6667.199999999982538              261744.533333332976326
 29               10664.639999999983047                3185.862868109652027               13334.399999999965075               13334.399999999965075              533231.999999999185093
 30               11480.831999999978507                2894.475165237366127               13334.399999999965075               13334.399999999965075              574041.599999998928979
 31               12019.647999999970125                2677.142262207205476               13334.399999999965075               13334.399999999965075              600982.399999998509884
 32               12437.247999999965032                2058.944034813946018               13334.399999999965075               13334.399999999965075              621862.399999998277053
 33               12552.383999999963635                1941.696704571529153               13334.399999999965075               13334.399999999965075              627619.199999998207204
 34               12683.391999999959808                1762.942838306433714               13334.399999999965075               13334.399999999965075              634169.599999997997656
 35               12765.205333333295130                2101.309572955336989               13334.399999999965075               13334.399999999965075              638260.266666664741933
 36               12867.306666666623642                2020.724540862610411               13334.399999999965075               13334.399999999965075              643365.333333331160247
 37               12618.069333333298346                2627.427997447430698               13334.399999999965075               13334.399999999965075              630903.466666664928198
 38               13009.855999999959749                1284.587473729979365               13334.399999999965075               13334.399999999965075              650492.799999997951090
 39               12666.239999999963402                1813.139202157392219               13334.399999999965075               13334.399999999965075              633311.999999998137355
 40               12073.386666666636302                2690.200428452190863               13334.399999999965075               13334.399999999965075              603669.333333331858739
 41               12388.799999999966531                2173.107277241490010               13334.399999999965075               13334.399999999965075              619439.999999998370185
 42               12750.207999999965978                1757.211831947404107               13334.399999999965075               13334.399999999965075              637510.399999998277053
 43               12388.287999999965905                2787.843089397318181               13334.399999999965075               13334.399999999965075              619414.399999998277053
 44               12018.367999999969470                3294.521608738145460               13334.399999999965075               13334.399999999965075              600918.399999998509884
 45               12505.898666666629651                2408.852481152324344               13334.399999999965075               13334.399999999965075              625294.933333331486210
 46               12304.831999999969412                2204.854228418723324               13334.399999999965075               13334.399999999965075              615241.599999998463318
 47               12611.370666666627585                2611.509527275484288               13334.399999999965075               13334.399999999965075              630568.533333331346512
 48               13225.791999999955806                 760.255999999994287               13334.399999999965075               13334.399999999965075              661289.599999997764826
 49               13334.399999999954161                   0.000000000010914               13334.399999999965075               13334.399999999965075              666719.999999997671694
